,yrke,aar,aarsverk,level_0,index,barnplus,grskplus,viskplus,uhskplus,anskplus,utskplus,dm1,dp1,dem1,dm2,dp2,dem2,dm3,dp3,dem3,dm4,dp4,dem4,dm5,dp5,dem5,dm6,dp6,dem6,totm,ar1,ar2,ar3,ar4,ar5,ar6,vak1,vak2,vak3,vak4,vak5,vak6,epd1,ep1,epd2,ep2,epd3,ep3,epd4,ep4,epd5,ep5,epd6,ep6,espd,esp,vaksum,asum,vakans
10,ba,2030,57142.08589957682,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9593014604679246,1.0,341582,0.9060659177802413,1.0,582035,1.0297907506041208,1.0,5627763,0.9974031548879103,1.0,2255396,1.048691679674929,1.0,5627763,1.048691679674929,1.0,5627763,5627763,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,39957.78373287046,39957.78373287046,7408.901009689032,7408.901009689032,475.7633267791038,475.7633267791038,635.3458096635989,635.3458096635989,1703.0752877920847,1703.0752877920847,11947.744306536466,11947.744306536466,62128.61347333075,62128.61347333075,10305,53641,-4986.527573753927
11,ba,2031,57934.60162376797,11,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9686746982296017,1.0,344851,0.898154663312453,1.0,576953,1.0179563261977207,1.0,5652811,1.000598411494355,1.0,2259498,1.0533591877403001,1.0,5652811,1.0533591877403001,1.0,5652811,5652811,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,40348.2072053576,40348.2072053576,7344.210681905928,7344.210681905928,470.29582270334697,470.29582270334697,637.3811881219041,637.3811881219041,1710.6553208902474,1710.6553208902474,12000.92122592524,12000.92122592524,62511.671444904256,62511.671444904256,10305,53641,-4577.069821136283
12,ba,2032,58628.39962179886,12,12,1.0,1.0,1.0,1.0,1.0,1.0,0.9777064448195569,1.0,348012,0.8916771485858753,1.0,572792,1.0086639923537843,1.0,5677319,1.0015421814522836,1.0,2263660,1.0579260708314098,1.0,5677319,1.0579260708314098,1.0,5677319,5677319,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,40724.406546069,40724.406546069,7291.244043986702,7291.244043986702,466.00276446744834,466.00276446744834,637.9823695851046,637.9823695851046,1718.0719390302095,1718.0719390302095,12052.951724982251,12052.951724982251,62890.65938812072,62890.65938812072,10305,53641,-4262.259766321862
13,ba,2033,59226.91288950575,13,13,1.0,1.0,1.0,1.0,1.0,1.0,0.9864582086056279,1.0,351167,0.8865617644494816,1.0,569506,1.0042674639157856,1.0,5701381,0.9994631268946575,1.0,2264369,1.0624098451474815,1.0,5701381,1.0624098451474815,1.0,5701381,5701381,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,41088.94376305022,41088.94376305022,7249.415547903412,7249.415547903412,463.9715683290929,463.9715683290929,636.6580118318968,636.6580118318968,1725.35358851951,1725.35358851951,12104.035365765256,12104.035365765256,63268.37784539939,63268.37784539939,10305,53641,-4041.464955893636
14,ba,2034,59747.48109903088,14,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9951775849211815,1.0,354332,0.8862130590183945,1.0,569282,0.9895514798209798,1.0,5725120,0.9955319656910049,1.0,2265139,1.066833430821541,1.0,5725120,1.066833430821541,1.0,5725120,5725120,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,41452.13194472197,41452.13194472197,7246.564183593412,7246.564183593412,457.17278367729267,457.17278367729267,634.1538621451701,634.1538621451701,1732.5374916541825,1732.5374916541825,12154.433277349817,12154.433277349817,63676.99354314185,63676.99354314185,10305,53641,-3929.5124441109656
15,ba,2035,60180.214251031925,15,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0041281089555771,1.0,357583,0.8890058159084404,1.0,571076,0.9689935648482755,1.0,5748457,0.9901877368276163,1.0,2265122,1.0711821067925393,1.0,5748457,1.0711821067925393,1.0,5748457,5748457,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,41824.948122326656,41824.948122326656,7269.4005566833175,7269.4005566833175,447.6750269599033,447.6750269599033,630.7495883591915,630.7495883591915,1739.5997414310839,1739.5997414310839,12203.9777426874,12203.9777426874,64116.350778447544,64116.350778447544,10305,53641,-3936.1365274156196
16,ba,2036,60568.44161486525,16,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0133502662753002,1.0,360969,0.8934300160653578,1.0,573918,0.9497303585679775,1.0,5771444,0.9845498804593618,1.0,2263939,1.0754655628728127,1.0,5771444,1.0754655628728127,1.0,5771444,5771444,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,42209.07864116508,42209.07864116508,7305.577241366431,7305.577241366431,438.7754256584056,438.7754256584056,627.1582738526134,627.1582738526134,1746.5560741054478,1746.5560741054478,12252.779157809955,12252.779157809955,64579.924813957936,64579.924813957936,10305,53641,-4011.483199092683
17,ba,2037,60934.616783895464,17,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0229954761615825,1.0,364144,0.8985936585426609,1.0,577235,0.9403540089999699,1.0,5793713,0.9775887316529713,1.0,2258952,1.0796152250058275,1.0,5793713,1.0796152250058275,1.0,5793713,5793713,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,42610.8305685584,42610.8305685584,7347.800345903339,7347.800345903339,434.4435521579861,434.4435521579861,622.7240220629427,622.7240220629427,1753.295125409464,1753.295125409464,12300.056258491393,12300.056258491393,65069.149872583526,65069.149872583526,10305,53641,-4134.533088688062
18,ba,2038,61311.647869452194,18,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0318235793716537,1.0,366740,0.9047956337098526,1.0,581219,0.9361882010149576,1.0,5814986,0.969221528444494,1.0,2251821,1.0835792899640933,1.0,5814986,1.0835792899640933,1.0,5814986,5814986,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,42978.54755156749,42978.54755156749,7398.513896845465,7398.513896845465,432.5189488689104,432.5189488689104,617.3941136191427,617.3941136191427,1759.7327669016875,1759.7327669016875,12345.218850560914,12345.218850560914,65531.926128363615,65531.926128363615,10305,53641,-4220.278258911421
19,ba,2039,61717.09137831684,19,19,1.0,1.0,1.0,1.0,1.0,1.0,1.038364864682313,1.0,368662,0.912487390562537,1.0,586160,0.9325561297719032,1.0,5835267,0.9592035123405569,1.0,2241321,1.0873585031177901,1.0,5835267,1.0873585031177901,1.0,5835267,5835267,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,43251.01170861238,43251.01170861238,7461.409392629866,7461.409392629866,430.84093195461924,430.84093195461924,611.0126373609347,611.0126373609347,1765.8702090632912,1765.8702090632912,12388.275426020982,12388.275426020982,65908.42030564208,65908.42030564208,10305,53641,-4191.328927325238
20,ba,2040,62174.31169826203,20,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0431592045384381,1.0,369882,0.9205714410251943,1.0,591353,0.9310794784260811,1.0,5854618,0.9491796104120884,1.0,2229906,1.090964417704703,1.0,5854618,1.090964417704703,1.0,5854618,5854618,31348,8177,462,637,1624,11393,10305,0,0,0,0,0,43450.710346639564,43450.710346639564,7527.512673263013,7527.512673263013,430.15871903284943,430.15871903284943,604.6274118325003,604.6274118325003,1771.7262143524379,1771.7262143524379,12429.357610909683,12429.357610909683,66214.09297603005,66214.09297603005,10305,53641,-4039.781277768023
