py      58      0.0063  0.0036  0.0027
py      59      0.0054  0.0045  0.0009
py      60      0.0036  0.0036  0.0000
py      61      0.0009  0.0009  0.0000
py      62      0.0018  0.0009  0.0009
py      64      0.0000  0.0000  0.0000
sp      18      0.0000  0.0000  0.0000
sp      19      0.0675  0.0069  0.0606
sp      20      0.0554  0.0043  0.0510
sp      21      0.0536  0.0087  0.0450
sp      22      0.0363  0.0043  0.0320
sp      23      0.0848  0.0069  0.0779
sp      24      0.0614  0.0078  0.0536
sp      25      0.0597  0.0078  0.0519
sp      26      0.0623  0.0104  0.0519
sp      27      0.0450  0.0061  0.0389
sp      28      0.0225  0.0009  0.0216
sp      29      0.0329  0.0043  0.0285
sp      30      0.0285  0.0061  0.0225
sp      31      0.0242  0.0052  0.0190
sp      32      0.0182  0.0026  0.0156
sp      33      0.0164  0.0017  0.0147
sp      34      0.0294  0.0061  0.0234
sp      35      0.0251  0.0052  0.0199
sp      36      0.0285  0.0017  0.0268
sp      37      0.0190  0.0035  0.0156
sp      38      0.0199  0.0026  0.0173
sp      39      0.0147  0.0009  0.0138
sp      40      0.0147  0.0009  0.0138
sp      41      0.0138  0.0009  0.0130
sp      42      0.0130  0.0026  0.0104
sp      43      0.0095  0.0009  0.0087
sp      44      0.0190  0.0035  0.0156
sp      45      0.0173  0.0026  0.0147
sp      46      0.0208  0.0017  0.0190
sp      47      0.0121  0.0017  0.0104
sp      48      0.0112  0.0000  0.0112
sp      49      0.0112  0.0000  0.0112
sp      50      0.0138  0.0035  0.0104
sp      51      0.0078  0.0000  0.0078
sp      52      0.0052  0.0017  0.0035
sp      53      0.0069  0.0000  0.0069
sp      54      0.0043  0.0009  0.0035
sp      55      0.0052  0.0017  0.0035
sp      56      0.0035  0.0000  0.0035
sp      57      0.0026  0.0000  0.0026
sp      58      0.0009  0.0000  0.0009
sp      59      0.0009  0.0000  0.0009
sp      60      0.0009  0.0000  0.0009
sp      61      0.0000  0.0000  0.0000
sp      62      0.0000  0.0000  0.0000
sp      64      0.0000  0.0000  0.0000
